Country,Year,Energy Consumption EJ,Fuel type
Canada,1965,0.647949159,Coal
Canada,1966,0.635221303,Coal
Canada,1967,0.629359782,Coal
Canada,1968,0.683746278,Coal
Canada,1969,0.660132766,Coal
Canada,1970,0.708741486,Coal
Canada,1971,0.673656106,Coal
Canada,1972,0.635681868,Coal
Canada,1973,0.654689908,Coal
Canada,1974,0.665198803,Coal
Canada,1975,0.647153676,Coal
Canada,1976,0.76618439,Coal
Canada,1977,0.979041338,Coal
Canada,1978,0.805037916,Coal
Canada,1979,0.762290657,Coal
Canada,1980,0.92840898,Coal
Canada,1981,0.947942019,Coal
Canada,1982,1.00168097,Coal
Canada,1983,1.048014998,Coal
Canada,1984,1.167376995,Coal
Canada,1985,1.122086048,Coal
Canada,1986,1.039978981,Coal
Canada,1987,1.117743969,Coal
Canada,1988,1.200307012,Coal
Canada,1989,1.197785974,Coal
Canada,1990,1.136170983,Coal
Canada,1991,1.099786043,Coal
Canada,1992,1.120352983,Coal
Canada,1993,0.994714975,Coal
Canada,1994,1.05468905,Coal
Canada,1995,1.102440953,Coal
Canada,1996,1.12509501,Coal
Canada,1997,1.175889969,Coal
Canada,1998,1.257176995,Coal
Canada,1999,1.208485007,Coal
Canada,2000,1.27867806,Coal
Canada,2001,1.328842998,Coal
Canada,2002,1.336577058,Coal
Canada,2003,1.333287001,Coal
Canada,2004,1.259474993,Coal
Canada,2005,1.254042029,Coal
Canada,2006,1.214759946,Coal
Canada,2007,1.269971013,Coal
Canada,2008,1.206828952,Coal
Canada,2009,1.008281946,Coal
Canada,2010,1.033146977,Coal
Canada,2011,0.931414008,Coal
Canada,2012,0.883475006,Coal
Canada,2013,0.861612737,Coal
Canada,2014,0.819357574,Coal
Canada,2015,0.771877289,Coal
Canada,2016,0.769037306,Coal
Canada,2017,0.797777295,Coal
Canada,2018,0.651452303,Coal
Canada,2019,0.608955979,Coal
Canada,2020,0.526241004,Coal
Canada,2021,0.472454011,Coal
Canada,2022,0.385116011,Coal
Canada,2023,0.370707989,Coal
Mexico,1965,0.02888,Coal
Mexico,1966,0.030804999,Coal
Mexico,1967,0.037797999,Coal
Mexico,1968,0.039623,Coal
Mexico,1969,0.040165,Coal
Mexico,1970,0.045045,Coal
Mexico,1971,0.056550998,Coal
Mexico,1972,0.062501997,Coal
Mexico,1973,0.067005001,Coal
Mexico,1974,0.074024998,Coal
Mexico,1975,0.085026003,Coal
Mexico,1976,0.065250002,Coal
Mexico,1977,0.093851998,Coal
Mexico,1978,0.097852997,Coal
Mexico,1979,0.096130997,Coal
Mexico,1980,0.097337,Coal
Mexico,1981,0.086035997,Coal
Mexico,1982,0.103036001,Coal
Mexico,1983,0.117302999,Coal
Mexico,1984,0.117637001,Coal
Mexico,1985,0.127517998,Coal
Mexico,1986,0.140606999,Coal
Mexico,1987,0.135982007,Coal
Mexico,1988,0.128702,Coal
Mexico,1989,0.142463997,Coal
Mexico,1990,0.141268,Coal
Mexico,1991,0.136638001,Coal
Mexico,1992,0.138177007,Coal
Mexico,1993,0.155853003,Coal
Mexico,1994,0.188345999,Coal
Mexico,1995,0.209730998,Coal
Mexico,1996,0.240479007,Coal
Mexico,1997,0.240711004,Coal
Mexico,1998,0.246051997,Coal
Mexico,1999,0.250371009,Coal
Mexico,2000,0.274273008,Coal
Mexico,2001,0.301224887,Coal
Mexico,2002,0.504380882,Coal
Mexico,2003,0.371946156,Coal
Mexico,2004,0.380590916,Coal
Mexico,2005,0.480346292,Coal
Mexico,2006,0.515513837,Coal
Mexico,2007,0.473701507,Coal
Mexico,2008,0.423163086,Coal
Mexico,2009,0.431087226,Coal
Mexico,2010,0.533227503,Coal
Mexico,2011,0.61677736,Coal
Mexico,2012,0.537357628,Coal
Mexico,2013,0.533615768,Coal
Mexico,2014,0.532579839,Coal
Mexico,2015,0.531541646,Coal
Mexico,2016,0.520679891,Coal
Mexico,2017,0.636310041,Coal
Mexico,2018,0.567163646,Coal
Mexico,2019,0.541493416,Coal
Mexico,2020,0.239367604,Coal
Mexico,2021,0.198454395,Coal
Mexico,2022,0.244213,Coal
Mexico,2023,0.263958752,Coal
US,1965,11.60727882,Coal
US,1966,12.17104626,Coal
US,1967,11.94118786,Coal
US,1968,12.35907555,Coal
US,1969,12.41005516,Coal
US,1970,12.2927742,Coal
US,1971,11.62512302,Coal
US,1972,12.10473061,Coal
US,1973,13.00136375,Coal
US,1974,12.6920414,Coal
US,1975,12.69194889,Coal
US,1976,13.61535168,Coal
US,1977,13.95416641,Coal
US,1978,13.7972784,Coal
US,1979,15.07422352,Coal
US,1980,15.45832825,Coal
US,1981,15.94416237,Coal
US,1982,15.35686779,Coal
US,1983,15.93104744,Coal
US,1984,17.10993576,Coal
US,1985,17.51868248,Coal
US,1986,17.30015755,Coal
US,1987,18.04992485,Coal
US,1988,18.8897171,Coal
US,1989,19.11367989,Coal
US,1990,19.21679115,Coal
US,1991,19.03540802,Coal
US,1992,19.16651154,Coal
US,1993,19.88082886,Coal
US,1994,19.95531654,Coal
US,1995,20.1349926,Coal
US,1996,21.05028343,Coal
US,1997,21.49480057,Coal
US,1998,21.7056179,Coal
US,1999,21.6723423,Coal
US,2000,22.63153076,Coal
US,2001,21.96473694,Coal
US,2002,21.95443535,Coal
US,2003,22.37233353,Coal
US,2004,22.51793671,Coal
US,2005,22.8490448,Coal
US,2006,22.4988575,Coal
US,2007,22.8018589,Coal
US,2008,22.43899727,Coal
US,2009,19.7365551,Coal
US,2010,20.88195038,Coal
US,2011,19.70305634,Coal
US,2012,17.41825676,Coal
US,2013,18.08017731,Coal
US,2014,18.03908157,Coal
US,2015,15.5846796,Coal
US,2016,14.25866795,Coal
US,2017,13.86933327,Coal
US,2018,13.28205109,Coal
US,2019,11.34165573,Coal
US,2020,9.202253342,Coal
US,2021,10.57281971,Coal
US,2022,9.910711288,Coal
US,2023,8.196724892,Coal
Argentina,1965,0.030438177,Coal
Argentina,1966,0.025098545,Coal
Argentina,1967,0.028225429,Coal
Argentina,1968,0.027428526,Coal
Argentina,1969,0.032839812,Coal
Argentina,1970,0.042201355,Coal
Argentina,1971,0.036999151,Coal
Argentina,1972,0.031144662,Coal
Argentina,1973,0.034187481,Coal
Argentina,1974,0.042573318,Coal
Argentina,1975,0.041439384,Coal
Argentina,1976,0.041913308,Coal
Argentina,1977,0.03963061,Coal
Argentina,1978,0.048309103,Coal
Argentina,1979,0.045006026,Coal
Argentina,1980,0.040120523,Coal
Argentina,1981,0.038017683,Coal
Argentina,1982,0.038397875,Coal
Argentina,1983,0.034847867,Coal
Argentina,1984,0.025866805,Coal
Argentina,1985,0.038158581,Coal
Argentina,1986,0.043593656,Coal
Argentina,1987,0.048382822,Coal
Argentina,1988,0.049580459,Coal
Argentina,1989,0.053649966,Coal
Argentina,1990,0.044158075,Coal
Argentina,1991,0.038858443,Coal
Argentina,1992,0.043805391,Coal
Argentina,1993,0.029051954,Coal
Argentina,1994,0.025434386,Coal
Argentina,1995,0.026690949,Coal
Argentina,1996,0.027960539,Coal
Argentina,1997,0.02205977,Coal
Argentina,1998,0.029654674,Coal
Argentina,1999,0.035587691,Coal
Argentina,2000,0.027045531,Coal
Argentina,2001,0.022164669,Coal
Argentina,2002,0.016510667,Coal
Argentina,2003,0.020137914,Coal
Argentina,2004,0.034271348,Coal
Argentina,2005,0.039461922,Coal
Argentina,2006,0.035725754,Coal
Argentina,2007,0.051697299,Coal
Argentina,2008,0.063057847,Coal
Argentina,2009,0.034635376,Coal
Argentina,2010,0.048499487,Coal
Argentina,2011,0.052627124,Coal
Argentina,2012,0.049209051,Coal
Argentina,2013,0.053781491,Coal
Argentina,2014,0.057210181,Coal
Argentina,2015,0.056930866,Coal
Argentina,2016,0.04387911,Coal
Argentina,2017,0.045091037,Coal
Argentina,2018,0.049352933,Coal
Argentina,2019,0.029246265,Coal
Argentina,2020,0.03605517,Coal
Argentina,2021,0.050588645,Coal
Argentina,2022,0.053609692,Coal
Argentina,2023,0.046057489,Coal
Brazil,1965,0.072640978,Coal
Brazil,1966,0.078711838,Coal
Brazil,1967,0.081349522,Coal
Brazil,1968,0.080051616,Coal
Brazil,1969,0.089346312,Coal
Brazil,1970,0.102041267,Coal
Brazil,1971,0.102716789,Coal
Brazil,1972,0.108129285,Coal
Brazil,1973,0.106266819,Coal
Brazil,1974,0.112724215,Coal
Brazil,1975,0.134010896,Coal
Brazil,1976,0.143015027,Coal
Brazil,1977,0.181389734,Coal
Brazil,1978,0.208566055,Coal
Brazil,1979,0.226543173,Coal
Brazil,1980,0.24712114,Coal
Brazil,1981,0.241768286,Coal
Brazil,1982,0.255570501,Coal
Brazil,1983,0.287412524,Coal
Brazil,1984,0.354928702,Coal
Brazil,1985,0.419572949,Coal
Brazil,1986,0.424773008,Coal
Brazil,1987,0.444797248,Coal
Brazil,1988,0.454564214,Coal
Brazil,1989,0.451049328,Coal
Brazil,1990,0.401834846,Coal
Brazil,1991,0.460668743,Coal
Brazil,1992,0.447048038,Coal
Brazil,1993,0.460570574,Coal
Brazil,1994,0.472793937,Coal
Brazil,1995,0.495827347,Coal
Brazil,1996,0.511628866,Coal
Brazil,1997,0.514696538,Coal
Brazil,1998,0.504144788,Coal
Brazil,1999,0.51050806,Coal
Brazil,2000,0.544253349,Coal
Brazil,2001,0.535636842,Coal
Brazil,2002,0.518437386,Coal
Brazil,2003,0.537907422,Coal
Brazil,2004,0.563964784,Coal
Brazil,2005,0.543904543,Coal
Brazil,2006,0.536306322,Coal
Brazil,2007,0.568338215,Coal
Brazil,2008,0.576476455,Coal
Brazil,2009,0.465145767,Coal
Brazil,2010,0.605511487,Coal
Brazil,2011,0.64682281,Coal
Brazil,2012,0.640078962,Coal
Brazil,2013,0.689928472,Coal
Brazil,2014,0.733570814,Coal
Brazil,2015,0.737931609,Coal
Brazil,2016,0.666538775,Coal
Brazil,2017,0.702988982,Coal
Brazil,2018,0.68752259,Coal
Brazil,2019,0.646244645,Coal
Brazil,2020,0.587278128,Coal
Brazil,2021,0.712470591,Coal
Brazil,2022,0.585582376,Coal
Brazil,2023,0.572737515,Coal
Chile,1965,0.048776221,Coal
Chile,1966,0.050241601,Coal
Chile,1967,0.050241601,Coal
Chile,1968,0.050241601,Coal
Chile,1969,0.050241601,Coal
Chile,1970,0.053716645,Coal
Chile,1971,0.051874451,Coal
Chile,1972,0.042872831,Coal
Chile,1973,0.046557218,Coal
Chile,1974,0.044128872,Coal
Chile,1975,0.035252854,Coal
Chile,1976,0.035587799,Coal
Chile,1977,0.03830922,Coal
Chile,1978,0.037346255,Coal
Chile,1979,0.041323718,Coal
Chile,1980,0.045636121,Coal
Chile,1981,0.045552384,Coal
Chile,1982,0.030354301,Coal
Chile,1983,0.036383294,Coal
Chile,1984,0.049069297,Coal
Chile,1985,0.049111165,Coal
Chile,1986,0.046640951,Coal
Chile,1987,0.048064463,Coal
Chile,1988,0.066988803,Coal
Chile,1989,0.090518616,Coal
Chile,1990,0.109049395,Coal
Chile,1991,0.089589149,Coal
Chile,1992,0.077464171,Coal
Chile,1993,0.078154996,Coal
Chile,1994,0.092180774,Coal
Chile,1995,0.099377885,Coal
Chile,1996,0.13770996,Coal
Chile,1997,0.179271653,Coal
Chile,1998,0.168673605,Coal
Chile,1999,0.174062029,Coal
Chile,2000,0.134509325,Coal
Chile,2001,0.105532482,Coal
Chile,2002,0.106369838,Coal
Chile,2003,0.101701558,Coal
Chile,2004,0.117804267,Coal
Chile,2005,0.115452394,Coal
Chile,2006,0.1441385,Coal
Chile,2007,0.171077654,Coal
Chile,2008,0.182943076,Coal
Chile,2009,0.167247266,Coal
Chile,2010,0.188024998,Coal
Chile,2011,0.241151303,Coal
Chile,2012,0.281156182,Coal
Chile,2013,0.316036403,Coal
Chile,2014,0.318808079,Coal
Chile,2015,0.306197435,Coal
Chile,2016,0.310537905,Coal
Chile,2017,0.322882801,Coal
Chile,2018,0.311622053,Coal
Chile,2019,0.313504487,Coal
Chile,2020,0.263324797,Coal
Chile,2021,0.291999996,Coal
Chile,2022,0.238474518,Coal
Chile,2023,0.175611407,Coal
Colombia,1965,0.084322155,Coal
Colombia,1966,0.084322155,Coal
Colombia,1967,0.092528284,Coal
Colombia,1968,0.084280282,Coal
Colombia,1969,0.089974329,Coal
Colombia,1970,0.093909927,Coal
Colombia,1971,0.073030643,Coal
Colombia,1972,0.075878926,Coal
Colombia,1973,0.077275179,Coal
Colombia,1974,0.093446568,Coal
Colombia,1975,0.094984464,Coal
Colombia,1976,0.092900552,Coal
Colombia,1977,0.095236681,Coal
Colombia,1978,0.096259721,Coal
Colombia,1979,0.097099178,Coal
Colombia,1980,0.101833604,Coal
Colombia,1981,0.103752039,Coal
Colombia,1982,0.108029731,Coal
Colombia,1983,0.119068302,Coal
Colombia,1984,0.123961821,Coal
Colombia,1985,0.127853021,Coal
Colombia,1986,0.126246348,Coal
Colombia,1987,0.158739418,Coal
Colombia,1988,0.126628712,Coal
Colombia,1989,0.146712184,Coal
Colombia,1990,0.066895194,Coal
Colombia,1991,0.084127881,Coal
Colombia,1992,0.14071317,Coal
Colombia,1993,0.147535667,Coal
Colombia,1994,0.168870747,Coal
Colombia,1995,0.151116878,Coal
Colombia,1996,0.117147647,Coal
Colombia,1997,0.138746157,Coal
Colombia,1998,0.131950766,Coal
Colombia,1999,0.10537938,Coal
Colombia,2000,0.113176137,Coal
Colombia,2001,0.111450315,Coal
Colombia,2002,0.091661073,Coal
Colombia,2003,0.101609394,Coal
Colombia,2004,0.088915378,Coal
Colombia,2005,0.056024432,Coal
Colombia,2006,0.159588158,Coal
Colombia,2007,0.140514985,Coal
Colombia,2008,0.185911566,Coal
Colombia,2009,0.171002999,Coal
Colombia,2010,0.201266423,Coal
Colombia,2011,0.162959144,Coal
Colombia,2012,0.196417212,Coal
Colombia,2013,0.211283997,Coal
Colombia,2014,0.223800898,Coal
Colombia,2015,0.208007902,Coal
Colombia,2016,0.228769317,Coal
Colombia,2017,0.174341291,Coal
Colombia,2018,0.163665339,Coal
Colombia,2019,0.193111092,Coal
Colombia,2020,0.170927495,Coal
Colombia,2021,0.113252014,Coal
Colombia,2022,0.102069132,Coal
Colombia,2023,0.156074464,Coal
Ecuador,1965,0,Coal
Ecuador,1966,0,Coal
Ecuador,1967,0,Coal
Ecuador,1968,0,Coal
Ecuador,1969,0,Coal
Ecuador,1970,0,Coal
Ecuador,1971,0,Coal
Ecuador,1972,0,Coal
Ecuador,1973,0,Coal
Ecuador,1974,0,Coal
Ecuador,1975,0,Coal
Ecuador,1976,0,Coal
Ecuador,1977,0,Coal
Ecuador,1978,0,Coal
Ecuador,1979,0,Coal
Ecuador,1980,0,Coal
Ecuador,1981,0,Coal
Ecuador,1982,0,Coal
Ecuador,1983,0,Coal
Ecuador,1984,0,Coal
Ecuador,1985,0,Coal
Ecuador,1986,0,Coal
Ecuador,1987,0,Coal
Ecuador,1988,0,Coal
Ecuador,1989,0,Coal
Ecuador,1990,1.15251E-05,Coal
Ecuador,1991,2.32025E-05,Coal
Ecuador,1992,1.67419E-05,Coal
Ecuador,1993,2.92837E-06,Coal
Ecuador,1994,1.42657E-05,Coal
Ecuador,1995,1.4251E-05,Coal
Ecuador,1996,1.78391E-05,Coal
Ecuador,1997,2.25621E-05,Coal
Ecuador,1998,3.3189E-05,Coal
Ecuador,1999,4.33049E-05,Coal
Ecuador,2000,5.79974E-05,Coal
Ecuador,2001,7.50059E-05,Coal
Ecuador,2002,8.09857E-05,Coal
Ecuador,2003,0.003173401,Coal
Ecuador,2004,7.55464E-05,Coal
Ecuador,2005,8.82322E-05,Coal
Ecuador,2006,0.000226712,Coal
Ecuador,2007,9.05024E-05,Coal
Ecuador,2008,0.00104237,Coal
Ecuador,2009,0.000249166,Coal
Ecuador,2010,0.000417598,Coal
Ecuador,2011,0.000391618,Coal
Ecuador,2012,0.000470139,Coal
Ecuador,2013,0.000527026,Coal
Ecuador,2014,0.000498704,Coal
Ecuador,2015,0.000539978,Coal
Ecuador,2016,0.000316772,Coal
Ecuador,2017,0.000340838,Coal
Ecuador,2018,0.001166716,Coal
Ecuador,2019,0.000358299,Coal
Ecuador,2020,0.00101064,Coal
Ecuador,2021,0.001979453,Coal
Ecuador,2022,0.002879286,Coal
Ecuador,2023,0.002477896,Coal
Peru,1965,0.001510943,Coal
Peru,1966,0.001905849,Coal
Peru,1967,0.002146226,Coal
Peru,1968,0.002129056,Coal
Peru,1969,0.003588491,Coal
Peru,1970,0.00364,Coal
Peru,1971,0.005105,Coal
Peru,1972,0.005523,Coal
Peru,1973,0.006317,Coal
Peru,1974,0.006736,Coal
Peru,1975,0.007029,Coal
Peru,1976,0.005439,Coal
Peru,1977,0.006234,Coal
Peru,1978,0.005314,Coal
Peru,1979,0.005648,Coal
Peru,1980,0.005942,Coal
Peru,1981,0.006025,Coal
Peru,1982,0.00682,Coal
Peru,1983,0.005774,Coal
Peru,1984,0.004603,Coal
Peru,1985,0.005021,Coal
Peru,1986,0.00682,Coal
Peru,1987,0.007699,Coal
Peru,1988,0.007573,Coal
Peru,1989,0.00841,Coal
Peru,1990,0.006066,Coal
Peru,1991,0.011757,Coal
Peru,1992,0.011506,Coal
Peru,1993,0.012092,Coal
Peru,1994,0.014895,Coal
Peru,1995,0.015648,Coal
Peru,1996,0.016401,Coal
Peru,1997,0.017070999,Coal
Peru,1998,0.018715,Coal
Peru,1999,0.016973,Coal
Peru,2000,0.026365999,Coal
Peru,2001,0.023923,Coal
Peru,2002,0.032760002,Coal
Peru,2003,0.035156,Coal
Peru,2004,0.038013998,Coal
Peru,2005,0.03858,Coal
Peru,2006,0.032825001,Coal
Peru,2007,0.043340001,Coal
Peru,2008,0.038644999,Coal
Peru,2009,0.034717999,Coal
Peru,2010,0.034047998,Coal
Peru,2011,0.034242,Coal
Peru,2012,0.036547001,Coal
Peru,2013,0.036858998,Coal
Peru,2014,0.036400001,Coal
Peru,2015,0.033927001,Coal
Peru,2016,0.036169998,Coal
Peru,2017,0.031374998,Coal
Peru,2018,0.028316701,Coal
Peru,2019,0.029467899,Coal
Peru,2020,0.021402599,Coal
Peru,2021,0.0280584,Coal
Peru,2022,0.030327473,Coal
Peru,2023,0.029294347,Coal
Trinidad & Tobago,1965,0,Coal
Trinidad & Tobago,1966,0,Coal
Trinidad & Tobago,1967,0,Coal
Trinidad & Tobago,1968,0,Coal
Trinidad & Tobago,1969,0,Coal
Trinidad & Tobago,1970,0,Coal
Trinidad & Tobago,1971,0,Coal
Trinidad & Tobago,1972,0,Coal
Trinidad & Tobago,1973,0,Coal
Trinidad & Tobago,1974,0,Coal
Trinidad & Tobago,1975,0,Coal
Trinidad & Tobago,1976,0,Coal
Trinidad & Tobago,1977,0,Coal
Trinidad & Tobago,1978,0,Coal
Trinidad & Tobago,1979,0,Coal
Trinidad & Tobago,1980,0,Coal
Trinidad & Tobago,1981,0,Coal
Trinidad & Tobago,1982,0,Coal
Trinidad & Tobago,1983,0,Coal
Trinidad & Tobago,1984,0,Coal
Trinidad & Tobago,1985,0,Coal
Trinidad & Tobago,1986,0,Coal
Trinidad & Tobago,1987,0,Coal
Trinidad & Tobago,1988,0,Coal
Trinidad & Tobago,1989,0,Coal
Trinidad & Tobago,1990,0,Coal
Trinidad & Tobago,1991,0,Coal
Trinidad & Tobago,1992,0,Coal
Trinidad & Tobago,1993,0,Coal
Trinidad & Tobago,1994,0,Coal
Trinidad & Tobago,1995,0,Coal
Trinidad & Tobago,1996,0,Coal
Trinidad & Tobago,1997,0,Coal
Trinidad & Tobago,1998,0,Coal
Trinidad & Tobago,1999,0,Coal
Trinidad & Tobago,2000,0,Coal
Trinidad & Tobago,2001,0,Coal
Trinidad & Tobago,2002,0,Coal
Trinidad & Tobago,2003,0,Coal
Trinidad & Tobago,2004,0,Coal
Trinidad & Tobago,2005,0,Coal
Trinidad & Tobago,2006,0,Coal
Trinidad & Tobago,2007,0,Coal
Trinidad & Tobago,2008,0,Coal
Trinidad & Tobago,2009,0,Coal
Trinidad & Tobago,2010,0,Coal
Trinidad & Tobago,2011,0,Coal
Trinidad & Tobago,2012,0,Coal
Trinidad & Tobago,2013,0,Coal
Trinidad & Tobago,2014,0,Coal
Trinidad & Tobago,2015,0,Coal
Trinidad & Tobago,2016,0,Coal
Trinidad & Tobago,2017,0,Coal
Trinidad & Tobago,2018,0,Coal
Trinidad & Tobago,2019,0,Coal
Trinidad & Tobago,2020,0,Coal
Trinidad & Tobago,2021,0,Coal
Trinidad & Tobago,2022,0,Coal
Trinidad & Tobago,2023,0,Coal
Venezuela,1965,0.00083736,Coal
Venezuela,1966,0.000879228,Coal
Venezuela,1967,0.000921096,Coal
Venezuela,1968,0.000962964,Coal
Venezuela,1969,0.001004832,Coal
Venezuela,1970,0.001004832,Coal
Venezuela,1971,0.005973894,Coal
Venezuela,1972,0.00629364,Coal
Venezuela,1973,0.011405388,Coal
Venezuela,1974,0.008541825,Coal
Venezuela,1975,0.010546759,Coal
Venezuela,1976,0.006917766,Coal
Venezuela,1977,0.010720008,Coal
Venezuela,1978,0.003302548,Coal
Venezuela,1979,0.006884523,Coal
Venezuela,1980,0.006557324,Coal
Venezuela,1981,0.006478278,Coal
Venezuela,1982,0.003697489,Coal
Venezuela,1983,0.005173963,Coal
Venezuela,1984,0.00566047,Coal
Venezuela,1985,0.007494832,Coal
Venezuela,1986,0.008334161,Coal
Venezuela,1987,0.010948063,Coal
Venezuela,1988,0.007958228,Coal
Venezuela,1989,0.021851622,Coal
Venezuela,1990,0.019375924,Coal
Venezuela,1991,0,Coal
Venezuela,1992,0.000152818,Coal
Venezuela,1993,0.001191982,Coal
Venezuela,1994,0.002322878,Coal
Venezuela,1995,0.000213945,Coal
Venezuela,1996,0.0006724,Coal
Venezuela,1997,0.001436491,Coal
Venezuela,1998,0.001497618,Coal
Venezuela,1999,0.001528182,Coal
Venezuela,2000,0.005532103,Coal
Venezuela,2001,0.002047806,Coal
Venezuela,2002,0.000764091,Coal
Venezuela,2003,0.001803297,Coal
Venezuela,2004,0,Coal
Venezuela,2005,0.001558746,Coal
Venezuela,2006,0.010361199,Coal
Venezuela,2007,0.005807133,Coal
Venezuela,2008,0.005898866,Coal
Venezuela,2009,0.009933309,Coal
Venezuela,2010,0.008343957,Coal
Venezuela,2011,0.008588467,Coal
Venezuela,2012,0.008832975,Coal
Venezuela,2013,0.008802412,Coal
Venezuela,2014,0.008252267,Coal
Venezuela,2015,0.007732693,Coal
Venezuela,2016,0.00641844,Coal
Venezuela,2017,0.005412611,Coal
Venezuela,2018,0.004348767,Coal
Venezuela,2019,0.003145463,Coal
Venezuela,2020,0.002203387,Coal
Venezuela,2021,0.001983049,Coal
Venezuela,2022,0.006742842,Coal
Venezuela,2023,0.006742842,Coal
Central America,1965,1.30827E-05,Coal
Central America,1966,6.56322E-05,Coal
Central America,1967,9.22763E-05,Coal
Central America,1968,6.77424E-05,Coal
Central America,1969,0.000120186,Coal
Central America,1970,4.00237E-05,Coal
Central America,1971,6.64104E-05,Coal
Central America,1972,0.000289892,Coal
Central America,1973,0.000415508,Coal
Central America,1974,0.000173104,Coal
Central America,1975,4.58298E-05,Coal
Central America,1976,2.75236E-05,Coal
Central America,1977,5.63681E-05,Coal
Central America,1978,5.81617E-05,Coal
Central America,1979,8.78578E-05,Coal
Central America,1980,0.000646002,Coal
Central America,1981,0.000632353,Coal
Central America,1982,0.000143586,Coal
Central America,1983,0.000115388,Coal
Central America,1984,3.16517E-05,Coal
Central America,1985,0.000945205,Coal
Central America,1986,0.00098096,Coal
Central America,1987,0.001055485,Coal
Central America,1988,0.000542605,Coal
Central America,1989,0.001422064,Coal
Central America,1990,0.00100883,Coal
Central America,1991,0.001419064,Coal
Central America,1992,0.001307614,Coal
Central America,1993,0.001687871,Coal
Central America,1994,0.001690589,Coal
Central America,1995,0.001320652,Coal
Central America,1996,0.003332002,Coal
Central America,1997,0.00178872,Coal
Central America,1998,0.00280844,Coal
Central America,1999,0.003693549,Coal
Central America,2000,0.010901253,Coal
Central America,2001,0.01156714,Coal
Central America,2002,0.014891296,Coal
Central America,2003,0.015130385,Coal
Central America,2004,0.015656249,Coal
Central America,2005,0.012876475,Coal
Central America,2006,0.013754509,Coal
Central America,2007,0.014961386,Coal
Central America,2008,0.017090374,Coal
Central America,2009,0.012163729,Coal
Central America,2010,0.015488267,Coal
Central America,2011,0.023264329,Coal
Central America,2012,0.030353214,Coal
Central America,2013,0.039470822,Coal
Central America,2014,0.042104045,Coal
Central America,2015,0.053305974,Coal
Central America,2016,0.058380169,Coal
Central America,2017,0.04357887,Coal
Central America,2018,0.056605178,Coal
Central America,2019,0.074340841,Coal
Central America,2020,0.0609974,Coal
Central America,2021,0.068470561,Coal
Central America,2022,0.047405346,Coal
Central America,2023,0.054551882,Coal
Other Caribbean,1965,0.0020934,Coal
Other Caribbean,1966,0.0020934,Coal
Other Caribbean,1967,0.0020934,Coal
Other Caribbean,1968,0.0020934,Coal
Other Caribbean,1969,0.0020934,Coal
Other Caribbean,1970,0.00167472,Coal
Other Caribbean,1971,0.001381644,Coal
Other Caribbean,1972,0.001381644,Coal
Other Caribbean,1973,0.001172304,Coal
Other Caribbean,1974,0.00125604,Coal
Other Caribbean,1975,0.001558848,Coal
Other Caribbean,1976,0.00125604,Coal
Other Caribbean,1977,0.002344608,Coal
Other Caribbean,1978,0.002344608,Coal
Other Caribbean,1979,0.001967796,Coal
Other Caribbean,1980,0.00230274,Coal
Other Caribbean,1981,0.002260872,Coal
Other Caribbean,1982,0.004103064,Coal
Other Caribbean,1983,0.008442134,Coal
Other Caribbean,1984,0.006850552,Coal
Other Caribbean,1985,0.013435467,Coal
Other Caribbean,1986,0.010623777,Coal
Other Caribbean,1987,0.016664435,Coal
Other Caribbean,1988,0.015697421,Coal
Other Caribbean,1989,0.014401441,Coal
Other Caribbean,1990,0.013624576,Coal
Other Caribbean,1991,0.014244955,Coal
Other Caribbean,1992,0.013086223,Coal
Other Caribbean,1993,0.013547232,Coal
Other Caribbean,1994,0.010198894,Coal
Other Caribbean,1995,0.010580208,Coal
Other Caribbean,1996,0.009408594,Coal
Other Caribbean,1997,0.010142768,Coal
Other Caribbean,1998,0.011059538,Coal
Other Caribbean,1999,0.012947576,Coal
Other Caribbean,2000,0.016316755,Coal
Other Caribbean,2001,0.017005476,Coal
Other Caribbean,2002,0.040501944,Coal
Other Caribbean,2003,0.056395623,Coal
Other Caribbean,2004,0.059174708,Coal
Other Caribbean,2005,0.059666471,Coal
Other Caribbean,2006,0.068215504,Coal
Other Caribbean,2007,0.070850263,Coal
Other Caribbean,2008,0.07382251,Coal
Other Caribbean,2009,0.071577469,Coal
Other Caribbean,2010,0.067855902,Coal
Other Caribbean,2011,0.076280324,Coal
Other Caribbean,2012,0.077218853,Coal
Other Caribbean,2013,0.077330399,Coal
Other Caribbean,2014,0.082544344,Coal
Other Caribbean,2015,0.079667316,Coal
Other Caribbean,2016,0.080911303,Coal
Other Caribbean,2017,0.070803928,Coal
Other Caribbean,2018,0.071859444,Coal
Other Caribbean,2019,0.102864155,Coal
Other Caribbean,2020,0.122923632,Coal
Other Caribbean,2021,0.114233101,Coal
Other Caribbean,2022,0.11864331,Coal
Other Caribbean,2023,0.120652496,Coal
Other South America,1965,0.001323029,Coal
Other South America,1966,0.001113689,Coal
Other South America,1967,0.0012686,Coal
Other South America,1968,0.00103414,Coal
Other South America,1969,0.000967151,Coal
Other South America,1970,0.001200403,Coal
Other South America,1971,0.001121691,Coal
Other South America,1972,0.001091128,Coal
Other South America,1973,0.000937602,Coal
Other South America,1974,0.001011709,Coal
Other South America,1975,0.001057764,Coal
Other South America,1976,0.00094192,Coal
Other South America,1977,0.000908844,Coal
Other South America,1978,0.000171548,Coal
